,3550,1650,500,1250,500,1250
,500,400,500,400,500,400
,500,1250,500,450,450,450
,450,1300,450,1300,450,450
,450,1300,450,450,500,400
,500,1250,500,1250,500,450
,450,1300,450,1300,450,450
,450,450,450,1300,450,450
,500,450,450,1300,450,450
,450,450,450,450,500,400
,500,450,450,450,450,450
,450,450,500,450,450,450
,450,450,450,450,450,450
,500,1250,500,450,450,450
,450,450,450,1300,450,450
,450,500,450,1300,450,450
,450,450,450,450,450,1300
,450,450,450,500,450,450
,450,450,450,1300,450,450
,450,500,400,500,450,450
,450,1300,450,450,450,450
,450,500,450,450,450,450
,450,1300,450,450,450,1300
,450,1300,450,1300,450,500
,400,500,450,450,450,450
,450,500,400,500,450,450
,450,450,450,450,450,500
,400,500,450,450,450,450
,450,500,400,500,450,450
,450,450,450,500,400,500
,450,450,450,450,450,450
,450,500,400,500,450,450
,450,450,450,500,400,1350
,400,500,450,450,450,1300
,450,1300,450,450,450,500
,400,1300,450,1300,450,1300
,450,1300,450,500,400,1350
,400,500,450,450,450,16777215
